包号,目标重量(克),实际重量(克),偏差(克),生产时间(秒),控制阶段,控制模式,粗加料速度,精加料速度,粗加提前量,精加提前量,稳定性分数,准确性分数
1,150.00,207.20,57.20,8.36,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
2,150.00,71.00,-79.00,5.21,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
3,150.00,205.80,55.80,8.38,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
4,150.00,178.80,28.80,12.54,COARSE_SEARCH,标准,34.42,20.00,1.81,0.50,0.00,0.00
5,150.00,144.00,-6.00,64.48,COARSE_SEARCH,标准,22.42,20.00,1.81,0.50,0.00,0.00
6,150.00,81.00,-69.00,64.51,COARSE_SEARCH,标准,22.42,20.00,2.11,0.50,0.00,0.00
7,150.00,158.80,8.80,15.06,COARSE_SEARCH,标准,29.32,20.00,2.34,0.50,0.00,0.00
8,150.00,159.00,9.00,13.59,COARSE_SEARCH,标准,29.32,20.00,2.34,0.35,0.00,0.00
9,150.00,1.80,-148.20,5.20,COARSE_SEARCH,标准,21.82,20.00,2.34,0.35,0.00,0.00
10,150.00,2.60,-147.40,5.22,FINE_SEARCH,标准,22.32,20.00,2.34,0.35,0.00,0.00
11,150.00,2.40,-147.60,5.17,FINE_SEARCH,标准,22.82,20.00,2.34,0.35,0.00,0.00
12,150.00,2.60,-147.40,5.20,FINE_SEARCH,标准,22.32,20.00,2.34,0.35,0.00,0.00
13,150.00,0.40,-149.60,5.22,FINE_SEARCH,标准,19.82,20.00,2.34,0.35,0.00,0.00
14,150.00,0.00,-150.00,5.17,FINE_SEARCH,标准,17.32,20.00,2.34,0.35,0.00,0.00
15,150.00,0.00,-150.00,5.20,FINE_SEARCH,标准,17.32,19.75,2.34,0.35,0.00,0.00
16,150.00,0.00,-150.00,5.19,FINE_SEARCH,标准,17.32,19.50,2.34,0.35,0.00,0.00
17,150.00,0.20,-149.80,5.17,FINE_SEARCH,标准,17.32,19.25,2.34,0.35,0.00,0.00
18,150.00,0.00,-150.00,5.18,FINE_SEARCH,标准,17.32,19.50,2.34,0.35,0.00,0.00
19,150.00,0.00,-150.00,5.17,FINE_SEARCH,标准,16.82,19.50,2.34,0.35,0.00,0.00
20,150.00,0.00,-150.00,5.20,FINE_SEARCH,标准,16.32,19.50,2.34,0.35,0.00,0.00
