包号,目标重量(克),实际重量(克),偏差(克),生产时间(秒)
1,150.00,7.40,-142.60,5.16
2,150.00,203.20,53.20,8.99
3,150.00,204.80,54.80,8.16
4,150.00,36.20,-113.80,5.17
5,150.00,225.20,75.20,8.00
