cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count,material_name
46,1000.0,0.014392416070085592,-999.9856075839299,999.9856075839299,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
47,1000.0,0.019561583862031374,-999.980438416138,999.980438416138,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
48,1000.0,0.01549158941393127,-999.984508410586,999.984508410586,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
49,1000.0,0.015351258428685888,-999.9846487415713,999.9846487415713,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
50,1000.0,0.01917534720523306,-999.9808246527948,999.9808246527948,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
51,1000.0,0.020256264668368943,-999.9797437353317,999.9797437353317,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
52,1000.0,0.018382190711687982,-999.9816178092883,999.9816178092883,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
53,1000.0,0.014612409029939639,-999.98538759097,999.98538759097,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
54,1000.0,0.01702824637081384,-999.9829717536292,999.9829717536292,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
55,1000.0,0.016786622960816903,-999.9832133770392,999.9832133770392,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
56,1000.0,0.018104650250420767,-999.9818953497496,999.9818953497496,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
57,1000.0,0.01776854806737464,-999.9822314519326,999.9822314519326,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
58,1000.0,0.01911395469188275,-999.9808860453081,999.9808860453081,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
59,1000.0,0.016573100249053133,-999.983426899751,999.983426899751,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
60,1000.0,0.015623187688426868,-999.9843768123116,999.9843768123116,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高变异性材料
